number,freq,R,C0,Cq,q1000,Tmax,Rc/Rb,Resistor
NB3383,0.2,66.1,2.68,0.190,1292,79.6,1.39,9533
NB3389,-0.5,63.7,2.69,0.180,1356,83.2,1.40,8216
NB3384,-0.1,63.4,2.71,0.180,1359,90.7,1.39,6500
NB9166,0.2,72.1,2.95,0.190,1143,85.4,1.37,7107
NB9173,0.9,72.0,2.97,0.190,1136,80.6,1.35,9626
NB9177,0.9,69.1,2.94,0.190,1181,80.7,1.47,9559
NB9181,4.6,80.4,3.10,0.200,1008,76.9,1.28,11193
NB9168,0.4,69.4,3.06,0.190,1178,79.0,1.41,9984
NB9165,0.1,72.5,2.92,0.190,1165,81.3,1.17,9549
NB9170,0.5,74.8,2.95,0.190,1101,82.0,1.35,8876
NB9174,0.6,69.7,2.94,0.190,1175,83.1,1.38,8529
NB9176,0.7,71.5,2.99,0.200,1130,80.9,1.41,9382
NB9179,0.3,73.5,2.97,0.200,1098,84.1,1.38,8304
NB9180,0.7,74.3,2.96,0.190,1099,79.7,1.26,9982
NI3095,-1.3,70.2,2.84,0.190,1196,82.8,1.43,8778
NI3096,-1.4,72.4,2.82,0.180,1197,83.8,1.36,7979
NI3089,-1.7,73.1,2.83,0.180,1209,87.6,1.35,7108
NI3090,-1.8,72.3,2.93,0.180,1220,85.1,1.35,8068
NI3091,-1.8,73.1,2.92,0.180,1217,81.1,1.34,9533
NI3093,-1.6,72.5,2.93,0.180,1201,85.3,1.36,8520
NI3094,-2.1,76.2,2.90,0.180,1160,85.8,1.32,7844
NI5094,-1.3,66.8,2.83,0.200,1184,81.9,1.47,8379
NI5095,-3.1,67.3,2.82,0.190,1208,81.3,1.44,9214
NI5097,-1.5,66.1,2.89,0.200,1213,82.2,1.41,9238
NI5098,-1.3,65.7,2.82,0.200,1207,82.3,1.47,8917
NI5100,-7.8,68.0,2.82,0.200,1151,84.6,1.44,7914
NI5101,-3.1,65.9,2.85,0.200,1200,83.9,1.48,7990
NI5104,-1.0,66.9,2.79,0.200,1173,81.6,1.49,9515
NI6867,-2.5,66.7,2.83,0.200,1217,80.5,1.35,9743
NI6870,-1.8,66.4,2.77,0.200,1177,85.1,1.40,7723
NI6871,-1.6,63.5,2.75,0.200,1234,86.5,1.40,7152
NI6872,-0.1,65.3,2.80,0.200,1195,83.8,1.40,7898
NI6873,-1.9,67.4,2.80,0.200,1202,79.8,1.44,9885
NI6874,-3.6,69.8,2.78,0.180,1246,79.4,1.39,10052
NI6875,-2.9,67.4,2.80,0.200,1198,83.3,1.40,8523
NI6876,-0.6,67.3,2.78,0.190,1233,81.0,1.41,9906
NI6877,-1.9,68.0,2.75,0.200,1179,83.8,1.33,8071
NI6858,-1.1,74.0,2.85,0.180,1199,85.3,1.37,7995
NI6860,-1.1,72.3,2.84,0.180,1210,84.3,1.40,8632
NI6862,-1.2,70.7,2.85,0.180,1258,86.4,1.39,7752
NI6863,-1.0,72.4,2.84,0.180,1217,84.1,1.31,8374
NI6864,-0.9,73.6,2.86,0.180,1192,84.3,1.23,8899
NL0778,0.6,72.8,2.90,0.180,1211,86.5,1.34,7549
